Company Name,Email Address,Head Office Address
Nepal Bank Limited, info@nepalbank.com.np,"Dharmapath, Kathmandu"
Rastriya Banijya Bank, rbb.info@rbb.com.np,"Singha Durbar, Kathmandu"
Nabil Bank Limited, customercare@nabilbank.com,"Nabil Center, Durbar Marg, Kathmandu"
Nepal Investment Mega Bank Limited, info@nimb.com.np,"Durbar Marg, Kathmandu"
Standard Chartered Bank Nepal, cards.nepal@sc.com,"Naya Baneshwor, Kathmandu"
Himalayan Bank Limited, info@himalayanbank.com,"Kamaladi, Kathmandu"
Nepal SBI Bank Limited, corporate@nsbl.com.np,"Kamaladi, Kathmandu"
Everest Bank Limited, ebl@everestbankltd.com,"Lazimpat, Kathmandu"
NIC ASIA Bank Limited, info@nicasiabank.com,"Thapathali, Kathmandu"
Machhapuchchhre Bank Limited, info@machbank.com,"Lazimpat, Kathmandu"
Kumari Bank Limited, info@kumaribank.com,"Naxal, Kathmandu"
Laxmi Sunrise Bank Limited, info@laxmisunrise.com,"Hattisar, Kathmandu"
Siddhartha Bank Limited, info@siddharthabank.com,"Hattisar, Kathmandu"
Agriculture Development Bank Ltd., info@adbl.gov.np,"Ramshahpath, Kathmandu"
Global IME Bank Limited, info@globalimebank.com,"Kamaladi, Kathmandu"
Citizens Bank International Ltd., info@ctznbank.com,"Narayanhiti Path, Kathmandu"
Prime Commercial Bank Limited, info@primebank.com.np,"Kamalpokhari, Kathmandu"
NMB Bank Limited, info@nmb.com.np,"Babarmahal, Kathmandu"
Prabhu Bank Limited, info@prabhubank.com,"Babarmahal, Kathmandu"
Sanima Bank Limited, info@sanimabank.com,"Narayanchaur, Naxal, Kathmandu"
Mahalaxmi Bikas Bank Ltd., info@mahalaxmibank.com,"Durbar Marg, Kathmandu"
Garima Bikas Bank Ltd., info@garimabank.com.np,"Lazimpat, Kathmandu"
Jyoti Bikas Bank Ltd., info@jbbl.com.np,"Kamaladi, Kathmandu"
Kamana Sewa Bikas Bank Ltd., info@kamanasewabank.com,"Gyaneshwor, Kathmandu"
Lumbini Bikas Bank Ltd., info@lumbinibikasbank.com,"Dillibazar, Kathmandu"
Muktinath Bikas Bank Ltd., info@muktinathbank.com.np,"Kamaladi, Kathmandu"
Shangrila Development Bank Ltd., info@shangrilabank.com,"Baluwatar, Kathmandu"
Shine Resunga Development Bank Ltd., info@srdb.com.np,"Butwal, Rupandehi"
Corporate Development Bank Ltd., info@corporatebank.com.np,"Adarshnagar, Birgunj (Parsa)"
Excel Development Bank Ltd., info@edb.com.np,"Birtamode, Jhapa"
Green Development Bank Ltd., info@greenbank.com.np,"Pokhara, Kaski"
Miteri Development Bank Ltd., info@miteribank.com.np,"Dharan, Sunsari"
Narayani Development Bank Ltd., info@ndbl.com.np,"Ratnanagar, Chitwan"
Salapa Bikas Bank Ltd., info@salapabikasbank.com.np,"Diktel, Khotang"
Saptakoshi Development Bank Ltd., info@skdbl.com.np,"Biratnagar, Morang"
Nepal Finance Limited, info@nepalfinance.com.np,"Kamaladi, Kathmandu"
Nepal Share Markets & Finance Ltd., info@nsmfinance.com.np,"Kamaladi, Kathmandu"
Gurkhas Finance Ltd., info@gurkhasfinance.com.np,"Dillibazar, Kathmandu"
Goodwill Finance Ltd., info@goodwillfinance.com.np,"Hattisar, Kathmandu"
Shree Investment & Finance Co. Ltd., info@shreefinance.com.np,"Dillibazar, Kathmandu"
Best Finance Company Ltd., info@bestfinance.com.np,"Shanta Bhawan, Thapathali, Kathmandu"
Central Finance Ltd., info@centralfinance.com.np,"Kupondole, Lalitpur"
Janaki Finance Co. Ltd., info@jfcjanakpur.com,"Station Road, Janakpur"
Pokhara Finance Ltd., info@pokharafinance.com.np,"New Road, Pokhara"
Progressive Finance Ltd., info@pfltd.com.np,"New Road, Kathmandu"
Reliance Finance Ltd., info@reliancenepal.com.np,"Pradarshani Marg, Kathmandu"
Samriddhi Finance Co. Ltd., info@sfcl.com.np,"Putalisadak, Kathmandu"
ICFC Finance Ltd., info@icfcbank.com,"Bhatbhateni, Kathmandu"
Capital Merchant Banking & Finance Ltd., info@gmbf.com.np,"Pulchowk, Lalitpur"
Manjushree Finance Ltd., info@manjushreefinance.com.np,"New Baneshwor, Kathmandu"
Chhimek Laghubitta Bittiya Sanstha Ltd., support@chhimekbank.org,"Mid-Baneshwor, Kathmandu"
Swabalamban Laghubitta Bittiya Sanstha Ltd., info@swbbl.com.np,"Kamalpokhari, Kathmandu"
Nirdhan Utthan Laghubitta Bittiya Sanstha Ltd., nirdhan@nirdhan.com.np,"Naxal, Kathmandu"
Sana Kisan Bikas Laghubitta Bittya Sanstha Ltd., info@skbbl.com.np,"Subidhanagar, Tinkune, Kathmandu"
Grameen Bikas Laghubitta Bittiya Sanstha Ltd., info@gblbs.com.np,"Kalikanagar, Butwal, Rupandehi"
Nerude Laghubitta Bittiya Sanstha Ltd., info@nerude.org.np,"Banepa, Kavrepalanchowk"
Forward Microfinance Laghubitta Bittiya Sanstha Ltd., info@forward.com.np,"Duhabi, Sunsari"
Global IME Laghubitta Bittiya Sanstha Ltd., info@gibl.com.np,"New Road, Pokhara, Kaski"
NIC Asia Laghubitta Bittiya Sanstha Ltd., support@nicasiamicrofinance.com.np,"Banepa, Kavrepalanchowk"
Mithila Laghubitta Bittiya Sanstha Ltd., mithila.mf@gmail.com,"Dhalkebar, Dhanusha"
Suryodaya Womi Laghubitta Bittiya Sanstha Ltd., info@suryodayawomi.com.np,"Banepa, Kavrepalanchowk"
Jeevan Bikas Laghubitta Bittiya Sanstha Ltd., info@jeevanbikas.org,"Katahari, Morang"
Sworojgar Laghubitta Bittiya Sanstha Ltd., info@sworojgar.org.np,"Banepa, Kavrepalanchowk"
Mahila Laghubitta Bittiya Sanstha Ltd., info@mahilamfi.com.np,"Banepa, Kavrepalanchowk"
Samudayik Laghubitta Bittiya Sanstha Ltd., info@samudayik.com.np,"Panchkhal, Kavrepalanchowk"
NADEP Laghubitta Bittiya Sanstha Ltd., info@nadeplaghu.com.np,"Gajuri, Dhading"
National Microfinance Laghubitta (National LBSL), info@nationalmicrofinance.com.np,"Nilkantha, Dhading"
Swabhiman Laghubitta Bittiya Sanstha Ltd., swabhiman.mfi@gmail.com,"Tilottama, Rupandehi"
Asha Laghubitta Bittiya Sanstha Ltd., ashamicrofinance@gmail.com,"Madanpur, Nuwakot"
Ganapati Laghubitta Bittiya Sanstha Ltd., ganapati.mf@gmail.com,"Shuklagandaki, Tanahun"
Gurans Laghubitta Bittiya Sanstha Ltd., info@guranslaghu.com.np,"Dhankuta Bazaar, Dhankuta"
Infinity Laghubitta Bittiya Sanstha Ltd., infinity.mfi@gmail.com,"Gaidakot, Nawalparasi"
Unnati Sahakarya Laghubitta Bittiya Sanstha Ltd., info@unnati.com.np,"Siddharthanagar, Rupandehi"
Upakar Laghubitta Bittiya Sanstha Ltd., upakar.mfi@gmail.com,"Kohalpur, Banke"
WEAN Nepal Laghubitta Bittiya Sanstha Ltd., info@weanlaghubitta.org.np,"Banepa, Kavrepalanchowk"
Nepal Life Insurance Co. Ltd. (Life), info@nepallife.com.np,"Kamaladi, Kathmandu"
National Life Insurance Co. Ltd. (Life), info@nationallife.com.np,"Lazimpat, Kathmandu"
Rastriya Jeevan Beema Co. Ltd. (Life), rjbce@ntc.net.np,"Tripureshwor, Kathmandu"
Life Insurance Corporation Nepal Ltd. (Life), liccorporate@licnepal.com.np,"Putalisadak, Kathmandu"
MetLife Nepal (American Life Insurance Co.) (Life), service-nepal@metlife.com.np,"Jamal, Kathmandu"
SuryaJyoti Life Insurance Co. Ltd. (Life), info@suryajyotilife.com,"Trade Tower, Thapathali, Kathmandu"
Himalayan Life Insurance Ltd. (Life), info@himalayanlife.com.np,"Hattisar, Kathmandu"
Asian Life Insurance Co. Ltd. (Life), asianlife@asianlife.com.np,"Maitidevi, Kathmandu"
IME Life Insurance Co. Ltd. (Life), info@imelifeinsurance.com,"Lazimpat, Kathmandu"
Reliable Nepal Life Insurance Ltd. (Life), info@reliablelife.com.np,"New Baneshwor, Kathmandu"
Sanima Reliance Life Insurance Ltd. (Life), info@sanimareliancelife.com,"Hattisar, Kathmandu"
Citizen Life Insurance Ltd. (Life), info@citizenlifenepal.com,"Narayanchaur, Naxal, Kathmandu"
Sun Nepal Life Insurance Co. Ltd. (Life), info@sunlife.com.np,"Tripureshwor, Kathmandu"
Prabhu Mahalaxmi Life Insurance Ltd. (Life), info@pmlil.com,"Central Business Park, Thapathali, Kathmandu"
Nepal Insurance Company Ltd. (Non-Life), info@nepalinsurance.com.np,"Kamaladi, Kathmandu"
The Oriental Insurance Co. Ltd. (Non-Life), orientalnp@orientalinsurance.com.np,"Tripureshwor, Kathmandu"
National Insurance Co. Ltd. (Non-Life), info@nicnepal.com.np,"Lazimpat, Kathmandu"
Himalayan Everest Insurance Co. Ltd. (Non-Life), info@hei.com.np,"Thapathali, Kathmandu"
United Ajod Insurance Co. Ltd. (Non-Life), info@unitedajod.com,"Kamaladi, Kathmandu"
Neco Insurance Ltd. (Non-Life), info@neco.com.np,"Kamaladi, Kathmandu"
Sagarmatha Lumbini Insurance Co. Ltd. (Non-Life), info@salico.com.np,"Pulchowk, Lalitpur"
Prabhu Insurance Ltd. (Non-Life), info@prabhuinsurance.com,"Babbarmahal, Kathmandu"
IGI Prudential Insurance Ltd. (Non-Life), info@igiprudential.com,"Hattisar, Kathmandu"
Shikhar Insurance Co. Ltd. (Non-Life), info@shikharinsurance.com,"Thapathali, Kathmandu"
NLG Insurance Co. Ltd. (Non-Life), info@nlg.com.np,"Kamaladi, Kathmandu"
Siddhartha Premier Insurance Ltd. (Non-Life), info@siddharthapremier.com.np,"Tinkune, Kathmandu"
Rastriya Beema Company Ltd. (Non-Life), info@rbcl.gov.np,"Ramshahpath, Kathmandu"
Sanima GIC Insurance Ltd. (Non-Life), info@sgic.com.np,"Hattisar, Kathmandu"
